WARD2012,NumOccupiedHsgUnits_1980,NumOccupiedHsgUnits_1990,NumOccupiedHsgUnits_2000,NumOccupiedHsgUnits_2010,PctSameHouse5YearsAgo_1990,PctSameHouse5YearsAgo_2000,PctVacantHsgUnitsForRent_1980,PctVacantHsgUnitsForRent_1990,PctVacantHsgUnitsForRent_2000,PctVacantHsgUnitsForRent_2010_14,PctOwnerOccupiedHsgUnits_1980,PctOwnerOccupiedHsgUnits_1990,PctOwnerOccupiedHsgUnits_2000,PctOwnerOccupiedHsgUnits_2010_14,sales_sf_1995,sales_sf_1996,sales_sf_1997,sales_sf_1998,sales_sf_1999,sales_sf_2000,sales_sf_2001,sales_sf_2002,sales_sf_2003,sales_sf_2004,sales_sf_2005,sales_sf_2006,sales_sf_2007,sales_sf_2008,sales_sf_2009,sales_sf_2010,sales_sf_2011,sales_sf_2012,sales_sf_2013,sales_sf_2014,sales_sf_2015,r_mprice_sf_1995,r_mprice_sf_1996,r_mprice_sf_1997,r_mprice_sf_1998,r_mprice_sf_1999,r_mprice_sf_2000,r_mprice_sf_2001,r_mprice_sf_2002,r_mprice_sf_2003,r_mprice_sf_2004,r_mprice_sf_2005,r_mprice_sf_2006,r_mprice_sf_2007,r_mprice_sf_2008,r_mprice_sf_2009,r_mprice_sf_2010,r_mprice_sf_2011,r_mprice_sf_2012,r_mprice_sf_2013,r_mprice_sf_2014,r_mprice_sf_2015,PctAnnChgRMPriceSf_10yr,PctAnnChgRMPriceSf_5yr,PctAnnChgRMPriceSf_1yr,NumMrtgOrigHomePurchPerUnit_1997,NumMrtgOrigHomePurchPerUnit_1998,NumMrtgOrigHomePurchPerUnit_1999,NumMrtgOrigHomePurchPerUnit_2000,NumMrtgOrigHomePurchPerUnit_2001,NumMrtgOrigHomePurchPerUnit_2002,NumMrtgOrigHomePurchPerUnit_2003,NumMrtgOrigHomePurchPerUnit_2004,NumMrtgOrigHomePurchPerUnit_2005,NumMrtgOrigHomePurchPerUnit_2006,MedianMrtgInc1_4m_adj_1997,MedianMrtgInc1_4m_adj_1998,MedianMrtgInc1_4m_adj_1999,MedianMrtgInc1_4m_adj_2000,MedianMrtgInc1_4m_adj_2001,MedianMrtgInc1_4m_adj_2002,MedianMrtgInc1_4m_adj_2003,MedianMrtgInc1_4m_adj_2004,MedianMrtgInc1_4m_adj_2005,MedianMrtgInc1_4m_adj_2006,PctSubprimeConvOrigHomePur_1997,PctSubprimeConvOrigHomePur_1998,PctSubprimeConvOrigHomePur_1999,PctSubprimeConvOrigHomePur_2000,PctSubprimeConvOrigHomePur_2001,PctSubprimeConvOrigHomePur_2002,PctSubprimeConvOrigHomePur_2003,PctSubprimeConvOrigHomePur_2004,PctSubprimeConvOrigHomePur_2005,PctSubprimeConvOrigHomePur_2006
Ward 1,28891,29716,30536,34095,48,42,7.9,8,4.1,3.3,24,28,29,34,320,340,343,547,563,469,537,482,459,509,429,278,237,169,170,208,244,248,271,210,215,170000,162000,172000,182000,174000,208000,276000,357000,396000,467000,600000,633000,642000,635000,549000,577000,562000,585000,638000,673000,737000,2.1,5,9.5,46,69,86,99,109,116,114,122,163,153,84163,79039,78108,90608,96240,98753,101137,112491,117776,120015,4.2,6.8,3.3,4.2,3,2.4,3.1,5,7,4.1
Ward 2,31218,30593,34001,39453,34,30,9.1,9.1,3.5,6.9,23,30,32,36,181,207,307,364,354,288,248,273,306,264,235,192,167,150,133,173,175,196,214,156,179,506000,465000,515000,561000,590000,673000,812000,934000,923000,1044000,1199000,1221000,1248000,1287000,1169000,1150000,1109000,1164000,1270000,1233000,1400000,1.6,4,14,81,105,118,115,116,130,141,179,222,170,112044,111307,96910,118859,129567,124271,134531,132463,137202,149201,0.8,0.8,0.9,2,1.6,0.9,0.9,1.1,2.9,1.6
Ward 3,34512,36955,37886,38853,45,44,3,4.7,2.2,5,45,47,50,52,530,540,682,909,824,613,586,619,693,610,562,480,518,434,446,456,493,531,543,465,523,474000,456000,472000,487000,556000,613000,703000,813000,875000,977000,1028000,1015000,1020000,950000,969000,941000,920000,937000,987000,1031000,1090000,0.6,3,5.7,62,89,91,84,87,80,92,89,95,81,139123,140099,142772,154510,162505,163354,150344,168486,164020,180913,1.1,0.8,0.9,2.8,1.4,1.5,0.8,1.2,1.4,1.1
Ward 4,30624,29829,29195,29326,66,62,2.9,4.9,6.7,6.9,58,60,61,59,623,645,767,1005,956,738,754,793,759,967,871,725,577,368,393,442,522,617,768,660,668,195000,190000,194000,192000,200000,211000,231000,300000,372000,421000,510000,541000,546000,516000,506000,522000,465000,481000,548000,609000,627000,2.1,3.7,2.9,35,43,47,46,47,48,50,64,73,70,81168,80599,86297,92706,99177,101180,108835,114421,134212,135256,3.9,6.7,6.1,7,3.8,3.2,5.4,7.8,16,14
Ward 5,30334,30513,28110,30605,63,58,3.5,6.1,8.9,9.2,45,46,49,47,467,495,564,810,729,625,615,672,675,766,721,540,543,293,277,345,440,563,715,603,597,147000,153000,144000,151000,152000,167000,178000,219000,268000,330000,420000,443000,457000,402000,390000,369000,359000,402000,450000,488000,529000,2.3,7.5,8.3,22,30,33,38,38,46,50,65,75,69,54491,56873,58449,62253,64709,69788,77148,84057,97220,104494,15,30,21,13,8,7.1,9.4,11,22,17
Ward 6,32961,32714,34034,37704,51,50,7.3,9.2,5.2,4.6,35,39,40,43,500,603,682,920,918,800,872,815,800,857,862,628,520,417,472,538,588,636,631,514,528,163000,161000,169000,177000,192000,215000,309000,353000,400000,513000,586000,610000,596000,565000,587000,595000,560000,625000,648000,676000,745000,2.4,4.6,10,37,58,66,69,71,75,77,104,112,94,72292,77062,78630,93372,98076,110004,104212,116428,126730,133137,6.5,7.8,4.9,5.4,3.7,2.8,3.1,3.9,7.2,7
Ward 7,33080,30062,28086,28549,65,60,3.8,6.2,8.9,8.6,37,41,42,39,327,406,415,500,477,425,404,432,399,568,577,512,390,237,219,219,217,297,359,302,316,128000,124000,123000,126000,118000,125000,143000,153000,175000,199000,259000,302000,312000,326000,307000,251000,236000,234000,234000,266000,290000,1.1,2.9,8.9,20,22,23,29,26,29,34,58,62,71,46791,48270,44148,47756,54357,51967,60158,63357,76628,77016,18,27,24,17,5.8,6.6,10,13,22,19
Ward 8,31523,29253,26490,28122,51,52,7,12,11,8,17,18,22,21,147,186,193,269,273,268,238,254,210,309,297,349,227,186,85,126,108,109,134,147,154,127000,120000,115000,110000,123000,130000,145000,163000,173000,191000,246000,305000,326000,320000,265000,241000,236000,217000,219000,264000,281000,1.3,3.1,6.4,12,15,23,26,32,35,35,45,59,81,40387,48291,47518,43532,55632,55198,52979,61444,73958,77231,12,35,28,19,9.2,8.2,8.4,12,24,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
