WARD2012,school_present_2000,school_present_2001,school_present_2002,school_present_2003,school_present_2004,school_present_2005,school_present_2006,school_present_2007,school_present_2008,school_present_2009,school_present_2010,school_present_2011,school_present_2012,school_present_2013,dcps_present_2000,dcps_present_2001,dcps_present_2002,dcps_present_2003,dcps_present_2004,dcps_present_2005,dcps_present_2006,dcps_present_2007,dcps_present_2008,dcps_present_2009,dcps_present_2010,dcps_present_2011,dcps_present_2012,dcps_present_2013,charter_present_2000,charter_present_2001,charter_present_2002,charter_present_2003,charter_present_2004,charter_present_2005,charter_present_2006,charter_present_2007,charter_present_2008,charter_present_2009,charter_present_2010,charter_present_2011,charter_present_2012,charter_present_2013,aud_2001,aud_2002,aud_2003,aud_2004,aud_2005,aud_2006,aud_2007,aud_2008,aud_2009,aud_2010,aud_2011,aud_2012,aud_2013,aud_dcps_2001,aud_dcps_2002,aud_dcps_2003,aud_dcps_2004,aud_dcps_2005,aud_dcps_2006,aud_dcps_2007,aud_dcps_2008,aud_dcps_2009,aud_dcps_2010,aud_dcps_2011,aud_dcps_2012,aud_dcps_2013,aud_charter_2001,aud_charter_2002,aud_charter_2003,aud_charter_2004,aud_charter_2005,aud_charter_2006,aud_charter_2007,aud_charter_2008,aud_charter_2009,aud_charter_2010,aud_charter_2011,aud_charter_2012,aud_charter_2013
Ward 1,25,24,24,25,31,35,38,38,32,28,27,29,31,31,16,15,15,15,15,16,15,14,11,11,11,12,12,11,9,9,9,10,16,19,23,24,21,17,16,17,19,20,8881,8509,8875,8984,9045,9594,9809,9583,10142,9648,10910,11342,12132,6850,6159,6045,5713,5714,5687,5530,5157,5109,4565,5286,5407,5522,2031,2350,2830,3271,3331,3907,4279,4426,5033,5083,5624,5935,6610
Ward 2,12,11,10,11,12,12,13,10,10,11,10,10,10,10,9,9,8,9,9,8,8,7,7,8,8,8,8,8,3,2,2,2,3,4,5,3,3,3,2,2,2,2,3188,2915,3126,3127,2819,2991,2175,2350,3030,3146,3143,3472,3502,2923,2680,2870,2711,2238,2338,1833,1949,2579,2743,2718,2721,2845,265,235,256,416,581,653,342,401,451,403,425,751,657
Ward 3,10,11,11,11,11,11,12,12,11,10,10,10,10,10,10,11,11,11,10,10,10,10,10,10,10,10,10,10,0,0,0,0,1,1,2,2,1,0,0,0,0,0,5056,5017,4994,5076,5001,5069,5082,4977,5130,5463,5843,6144,6339,5056,5017,4994,4863,4900,4891,4775,4772,5130,5463,5843,6144,6339,0,0,0,213,101,178,307,205,0,0,0,0,0
Ward 4,26,27,28,29,28,30,30,35,36,34,32,32,35,35,20,20,21,21,21,20,19,19,17,18,17,17,17,16,6,7,7,8,7,10,11,16,19,16,15,15,18,19,10080,9968,10046,9290,8879,8867,9234,9915,10296,10540,10704,11991,12903,8522,8497,8075,7594,6852,6572,6406,6345,6486,6949,6809,7113,7427,1558,1471,1971,1696,2027,2295,2828,3570,3810,3591,3895,4878,5476
Ward 5,32,33,35,32,40,41,43,44,41,38,38,37,34,36,27,28,29,27,30,30,31,30,20,20,20,18,18,16,5,5,6,5,10,11,12,14,21,18,18,19,16,20,9892,10787,9457,10760,10689,10952,11324,11588,11666,11289,11706,11540,11201,8731,9021,7876,7788,7519,7439,7091,6106,6057,5594,5447,5193,4590,1161,1766,1581,2972,3170,3513,4233,5482,5609,5695,6259,6347,6611
Ward 6,32,35,33,32,32,35,34,33,31,30,32,34,34,33,27,27,27,24,25,26,24,24,21,19,19,20,19,18,5,8,6,8,7,9,10,9,10,11,13,14,15,15,12530,11665,11922,11245,10458,10016,9662,8886,8426,8867,9414,9894,10720,10395,10008,9386,9061,8032,7282,6992,5922,5282,5425,5706,6136,6727,2135,1657,2536,2184,2426,2734,2670,2964,3144,3442,3708,3758,3993
Ward 7,31,31,30,34,36,38,36,37,40,41,40,37,37,33,25,25,25,29,29,29,25,25,24,24,24,21,20,16,6,6,5,5,7,9,11,12,16,17,16,16,17,17,12623,12430,12854,12608,12814,12236,11811,12070,11941,11662,12216,12249,11758,10168,9753,9775,9328,8715,7581,6821,6297,5970,5458,5949,5752,5484,2455,2677,3079,3280,4099,4655,4990,5773,5971,6204,6267,6497,6274
Ward 8,30,33,33,34,34,37,37,39,36,39,37,40,41,41,29,30,30,31,31,32,30,30,25,23,21,21,21,19,1,3,3,3,3,5,7,9,11,16,16,19,20,22,14610,14694,14163,13157,12956,12379,12175,11807,12068,12217,13255,14052,15018,13536,13398,12716,11692,11288,10692,9978,8999,8536,7861,7982,7664,8074,1074,1296,1447,1465,1668,1687,2197,2808,3532,4356,5273,6388,6944
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
